project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
113,8,Graduated,88,3133,28,847,532,60,59,0.017148349261594937,-0.036795685714419504,0.3989786147462496,0.37218045112781956,0.06896551724137931,0.0,27,104,0.7753546177350787,7.703703703703703,13,181.0,62,149,0.2216400534948922,4.806451612903226,21,87.0,207
113,9,Graduated,75,4017,19,1314,612,56,54,-0.7181395936379907,-0.03722297047325965,0.413243714214588,0.43300653594771243,0.2,0.06896551724137931,17,48,0.5982514217808336,5.647058823529412,12,59.0,56,176,0.3345918748741062,6.285714285714286,18,191.0,243
113,10,Graduated,85,10903,30,1721,782,55,54,0.3258356657688133,0.19603874115510392,0.6597266807300743,0.4053708439897698,0.08,0.0,30,154,0.7901126286579915,10.266666666666667,17,461.0,56,185,0.41166540067937574,6.607142857142857,20,168.0,253
115,1,Graduated,10,99,3,88,215,7,20,0.025177538938495822,-0.6404454021683773,0.8888888888888888,0.4046511627906977,0.3333333333333333,0.0,3,2,0.0,1.3333333333333333,1,0.0,20,34,0.3277672327672328,3.4,5,13.0,27
115,2,Graduated,22,61,3,46,396,19,23,-0.1407286365581583,0.7781998036367391,0.6557377049180327,0.547979797979798,0.2,0.14285714285714285,2,1,0.0,1.0,0,0.0,23,56,0.4970101083911826,4.869565217391305,7,40.0,84
115,3,Graduated,21,21,3,18,276,18,20,-0.4182003113981895,-0.24240414719815187,0.42857142857142855,0.5471014492753623,0.6296296296296297,0.1724137931034483,2,1,0.0,1.0,0,0.0,20,50,0.5319871794871796,5.0,8,34.0,57
115,4,Graduated,22,150,3,95,533,19,22,0.3159646453511338,-0.1509875062292102,0.86,0.4915572232645403,0.3076923076923077,0.034482758620689655,3,3,1.0,2.0,0,1.0,23,63,0.5089902850772416,5.478260869565218,8,63.0,84
115,5,Graduated,11,71,2,49,267,9,10,-0.4311392844635827,-1.0536302955834447,0.8591549295774648,0.4232209737827715,0.4782608695652174,0.21428571428571427,2,1,0.0,1.0,0,0.0,10,26,0.6233333333333333,5.2,7,16.0,39
115,6,Graduated,20,54,2,41,276,18,21,1.3917447553147588,0.18225684026158032,0.6851851851851852,0.4855072463768116,0.64,0.07142857142857142,2,1,0.0,1.0,0,0.0,22,49,0.46503496503496505,4.454545454545454,8,31.0,61
115,7,Graduated,25,173,3,138,230,22,22,-2.3347556501696403,0.7524492479341669,0.8670520231213873,0.7521739130434782,0.5652173913043478,0.14814814814814814,3,2,0.0,1.3333333333333333,1,0.0,25,43,0.30073593073593075,3.44,4,20.0,43
115,8,Graduated,20,17,2,12,215,18,20,-0.10151689823219093,-0.995464096654903,0.9411764705882353,0.4325581395348837,0.4,0.23076923076923078,2,1,0.0,1.0,0,0.0,22,46,0.19210789210789211,4.181818181818182,10,13.0,59
115,9,Graduated,28,34,2,31,281,26,26,-1.1692303441805885,0.22704373495538976,0.8235294117647058,0.41637010676156583,0.5833333333333334,0.10714285714285714,2,1,0.0,1.0,0,0.0,28,70,0.3181689342403628,5.0,9,37.0,85
115,10,Graduated,26,54,2,48,165,24,22,0.9922778767136083,0.4073375764878286,0.7222222222222222,0.41818181818181815,0.0,0.24,2,1,0.0,1.0,0,0.0,26,58,0.23618859772705925,4.461538461538462,8,16.0,50
116,1,Graduated,13,316,2,156,84,11,10,1.2807870425254648,0.2244989453550337,0.9746835443037974,0.5238095238095238,0.36363636363636365,0.23809523809523808,2,1,0.0,1.0,0,0.0,11,20,0.4727272727272727,3.6363636363636362,6,8.0,31
116,2,Graduated,11,23,1,21,86,10,10,0.09025795221679452,0.08890152152354995,1.0,0.2558139534883721,0.8571428571428571,0.18518518518518517,0,0,0,0,0,0,10,20,0.35,4.0,7,7.0,30
116,3,Graduated,13,1,1,1,38,12,13,0,-0.0023368754713285703,1.0,0.3684210526315789,0.0,0.3076923076923077,0,0,0,0,0,0,13,16,0.0,2.4615384615384617,5,0.0,21
116,4,Graduated,6,2,1,2,21,5,8,0,0.7519353987858632,1.0,0.6190476190476191,0.0,0.8235294117647058,0,0,0,0,0,0,8,10,0.17916666666666667,2.5,3,1.0,6
116,5,Graduated,13,4,1,4,54,12,13,0,0.34939292174719955,1.0,0.46296296296296297,0.0,0.25925925925925924,0,0,0,0,0,0,14,21,0.1476190476190476,3.0,6,3.0,23
116,6,Graduated,12,8,1,8,92,11,13,-1.1547005383793438,-0.33371503208603087,1.0,0.5108695652173914,0.0,0.18181818181818182,0,0,0,0,0,0,13,26,0.29743589743589743,4.0,9,9.0,28
116,7,Graduated,9,0,0,0,34,9,10,0,-1.272077009437878,0,0.38235294117647056,1,0.5333333333333333,0,0,0,0,0,0,10,13,0.4107142857142857,2.6,3,3.0,15
116,8,Graduated,3,0,0,0,4,3,3,0,1.1547005383791593,0,0.5,1,0.0,0,0,0,0,0,0,3,3,1.0,2.0,0,1.0,2
116,9,Graduated,8,12,1,12,27,7,8,3.0151134457776494,0.9204808476533703,1.0,0.3333333333333333,0.9333333333333333,0.30434782608695654,0,0,0,0,0,0,9,10,0.15925925925925927,2.2222222222222223,3,1.0,7
116,10,Graduated,10,27,2,15,74,8,11,-1.9808869335422195,0.8108145349699876,0.8518518518518519,0.33783783783783783,0.9615384615384616,0.5357142857142857,0,0,0,0,0,0,12,21,0.28690476190476194,3.5,6,9.0,19
117,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,Graduated,7,0,0,0,14,7,7,0,3.1222015667733856,0,0.5,1,0.8,0,0,0,0,0,0,7,5,0.0,1.4285714285714286,1,0.0,10
117,3,Graduated,10,536,4,351,9,6,5,-4.616792941526319,0.27602702782981414,0.9496268656716418,0.3333333333333333,0.0,0.65,3,2,0.0,1.3333333333333333,1,0.0,6,5,0.0,1.6666666666666667,2,0.0,8
117,4,Graduated,12,438,2,311,39,10,10,1.4423799435691764,-0.5982319664044916,0.9269406392694064,0.20512820512820512,0.5,0.35,2,1,0.0,1.0,0,0.0,10,12,0.24333333333333332,2.4,5,2.0,20
117,5,Graduated,14,463,2,391,18,12,11,-2.6251928658587187,0.7393207115481345,0.9719222462203023,0.2777777777777778,0.8461538461538461,0.5555555555555556,2,1,0.0,1.0,0,0.0,12,10,0.25,1.6666666666666667,7,1.0,14
117,6,Graduated,12,1082,4,527,85,8,9,-0.23640235936914472,-0.2866217841917184,0.7301293900184843,0.3058823529411765,0.4782608695652174,0.36,4,6,1.0,3.0,0,4.0,9,11,0.0,2.4444444444444446,5,0.0,16
117,7,Graduated,26,428,3,295,149,23,24,-1.4960039253690915,-0.4091396399390832,0.6378504672897196,0.6174496644295302,0.4090909090909091,0.21428571428571427,3,3,1.0,2.0,0,1.0,24,31,0.08396464646464646,2.5833333333333335,3,1.0,43
117,8,Graduated,16,300,3,236,53,13,13,2.077279878499258,0.5357718343948792,0.7966666666666666,0.4528301886792453,0.5,0.5,3,3,1.0,2.0,0,1.0,14,12,0.0,1.7142857142857142,5,0.0,19
